,city,state_name,state_id
14101,indiana/sweetser,Indiana,IN
14102,washington/browns-point,Washington,WA
14103,virginia/glasgow,Virginia,VA
14104,pennsylvania/ellport,Pennsylvania,PA
14105,wisconsin/clear-lake,Wisconsin,WI
14106,utah/elwood,Utah,UT
14107,georgia/rochelle,Georgia,GA
14108,new-york/rosendale-hamlet,New-York,NY
14109,louisiana/leonville,Louisiana,LA
14110,colorado/floyd-hill,Colorado,CO
14111,texas/redwater,Texas,TX
14112,virginia/gratton,Virginia,VA
14113,kansas/peabody,Kansas,KS
14114,ohio/continental,Ohio,OH
14115,new-jersey/cedarville,New-Jersey,NJ
14116,mississippi/jonestown,Mississippi,MS
14117,pennsylvania/white-haven,Pennsylvania,PA
14118,west-virginia/clendenin,West-Virginia,WV
14119,illinois/danvers,Illinois,IL
14120,texas/lost-creek,Texas,TX
14121,texas/fort-davis,Texas,TX
14122,missouri/princeton,Missouri,MO
14123,pennsylvania/big-bass-lake,Pennsylvania,PA
14124,arkansas/ash-flat,Arkansas,AR
14125,pennsylvania/vinco,Pennsylvania,PA
14126,west-virginia/despard,West-Virginia,WV
14127,pennsylvania/point-marion,Pennsylvania,PA
14128,indiana/nashville,Indiana,IN
14129,virginia/brookneal,Virginia,VA
14130,california/fort-dick,California,CA
14131,arizona/hotevilla-bacavi,Arizona,AZ
14132,california/inverness,California,CA
14133,nebraska/eagle,Nebraska,NE
14134,maryland/hebron,Maryland,MD
14135,arkansas/mansfield,Arkansas,AR
14136,oregon/yoncalla,Oregon,OR
14137,kentucky/clay,Kentucky,KY
14138,new-york/dover-plains,New-York,NY
14139,illinois/louisville,Illinois,IL
14140,texas/anton,Texas,TX
14141,alabama/berry,Alabama,AL
14142,montana/somers,Montana,MT
14143,nebraska/weeping-water,Nebraska,NE
14144,ohio/andover,Ohio,OH
14145,wisconsin/powers-lake,Wisconsin,WI
14146,missouri/stover,Missouri,MO
14147,texas/paducah,Texas,TX
14148,kentucky/clay-city,Kentucky,KY
14149,indiana/morocco,Indiana,IN
14150,west-virginia/chapmanville,West-Virginia,WV
14151,georgia/ray-city,Georgia,GA
14152,north-carolina/white-plains,North-Carolina,NC
14153,pennsylvania/avonia,Pennsylvania,PA
14154,south-dakota/kyle,South-Dakota,SD
14155,illinois/south-pekin,Illinois,IL
14156,illinois/camp-point,Illinois,IL
14157,ohio/atwater,Ohio,OH
14158,indiana/markle,Indiana,IN
14159,utah/ballard,Utah,UT
14160,ohio/lowellville,Ohio,OH
14161,idaho/challis,Idaho,ID
14162,new-york/livingston-manor,New-York,NY
14163,missouri/shell-knob,Missouri,MO
14164,wisconsin/strum,Wisconsin,WI
14165,pennsylvania/west-kittanning,Pennsylvania,PA
14166,colorado/winter-park,Colorado,CO
14167,texas/coyote-acres,Texas,TX
14168,wisconsin/frederic,Wisconsin,WI
14169,alabama/steele,Alabama,AL
14170,iowa/winfield,Iowa,IA
14171,indiana/ogden-dunes,Indiana,IN
14172,virginia/glenvar,Virginia,VA
14173,wisconsin/oakfield,Wisconsin,WI
14174,south-carolina/oakland,South-Carolina,SC
14175,illinois/martinsville,Illinois,IL
14176,north-carolina/hoopers-creek,North-Carolina,NC
14177,kansas/erie,Kansas,KS
14178,minnesota/sherburn,Minnesota,MN
14179,nebraska/creighton,Nebraska,NE
14180,virginia/occoquan,Virginia,VA
14181,pennsylvania/foster-brook,Pennsylvania,PA
14182,pennsylvania/west-hills,Pennsylvania,PA
14183,pennsylvania/hebron,Pennsylvania,PA
14184,oklahoma/boise-city,Oklahoma,OK
14185,california/shandon,California,CA
